0.42988,0.68293,0.70732,0.95427,0.75915,0.96341,0.87805,1,1,0.94207,1
0.21951,0.45732,0.67683,0.72256,0.97256,0.92073,0.99085,1,1,1,1
0.35061,0.52744,0.76829,0.8811,0.8689,0.78049,0.95732,0.97561,1,1,1
0.57317,0.67683,0.81098,0.69512,0.83537,0.90549,0.95732,0.9878,0.96341,1,1
0.43598,0.50305,0.79268,0.76524,0.90854,0.93598,0.96646,1,1,1,1
0.30183,0.44207,0.78659,0.81098,0.9939,0.92988,0.91768,0.95122,0.9878,0.9939,1
0.33232,0.7561,0.57927,0.83537,0.89634,0.94512,0.9939,0.92073,0.99695,0.98171,1
0.027439,0.70122,0.53049,0.83841,0.90854,0.85061,0.85061,0.9939,1,1,1
0.31402,0.84451,0.73476,0.83232,0.85061,0.90854,0.91159,0.97866,0.91768,0.96951,1
0,0.56402,0.69817,0.67683,0.83537,0.70427,0.92073,0.99085,0.97866,1,1
0.3872,0.57012,0.53049,0.69207,0.91463,0.95122,0.90549,0.9878,1,0.98171,1
0.1311,0.55488,0.70427,0.84146,0.84756,0.95122,0.95427,1,0.99085,0.9939,1
0.5122,0.7622,0.34756,0.93902,0.84451,0.75,0.9878,1,0.9939,1,1
0.41159,0.62805,0.7378,0.7561,0.86585,0.7439,0.92378,1,1,1,1
0.34451,0.52439,0.60366,0.83232,0.68902,0.97256,0.91463,0.99695,1,1,1
0.33841,0.60366,0.70122,0.87195,0.89939,0.89634,0.94512,0.98171,0.98171,1,1
0.35976,0.37195,0.67378,0.85671,0.73171,0.94512,0.90244,1,0.98476,0.96341,1
0.8872,0.77439,0.47561,0.6128,0.83537,0.95732,0.92073,0.96951,1,1,1
0.44512,0.75915,0.67988,0.95427,0.84451,0.75915,0.98171,0.93902,1,1,1
0.52439,0.76524,0.28659,0.8689,0.96341,0.82317,0.96037,0.9878,0.96951,1,1
0.375,0.6128,0.74085,0.84756,0.77744,0.94817,0.94512,1,1,0.99695,1
0.21037,0.78049,0.68902,0.81707,0.74695,0.76524,0.93902,0.99695,1,0.9939,1
0.45732,0.68293,0.83232,0.88415,0.8689,0.97561,0.90549,1,0.91463,0.9939,1
0.4939,0.65244,0.92683,0.92988,0.92073,0.92683,0.95122,1,0.97866,1,1
0.094512,0.59146,0.44817,0.68902,0.68293,0.94207,0.9878,0.99085,0.98171,1,0.99695
0.63415,0.68598,0.77744,0.50305,0.92073,0.92073,0.95122,0.97561,1,1,1
0.20732,0.46037,0.83232,0.52134,0.83232,0.97256,0.97561,1,0.99085,1,1
0.37195,0.47866,0.81098,0.77134,0.78354,0.89634,0.92073,1,1,1,1
0.41159,0.71341,0.54573,0.71037,0.74695,0.65854,0.89329,1,0.97256,1,1
0.42988,0.70122,0.56707,0.79268,0.87805,0.90854,0.95122,0.96037,0.98171,0.99085,1
0.3811,0.28963,0.81098,0.64024,0.7561,0.79268,0.9939,1,1,1,1
0.29878,0.57012,0.67988,0.83537,0.79268,0.87805,0.92988,1,0.94817,0.99695,1
0.40549,0.45427,0.58537,0.90549,0.9939,0.7561,0.87805,0.97256,1,1,1
